cid,sid,car_lon,car_lat,days,times
1,14,-324088.8989,4478083.31,"Saturday, February 14, 2009",2:02
1,31,-324230.4589,4478055.617,"Saturday, February 14, 2009",2:03
1,38,-324290.2256,4478042.251,"Saturday, February 14, 2009",2:04
2,1,-324307.7062,4478048.668,"Saturday, February 14, 2009",2:04
2,17,-324343.6846,4478215.743,"Saturday, February 14, 2009",2:06
3,4,-324516.9775,4478174.992,"Saturday, February 14, 2009",2:08
3,24,-324681.6908,4478121.682,"Saturday, February 14, 2009",2:09
4,9,-324800.0022,4478065.166,"Saturday, February 14, 2009",2:11
4,21,-324896.7672,4478068.435,"Saturday, February 14, 2009",2:11
5,6,-325063.2633,4478026.59,"Saturday, February 14, 2009",2:13
5,16,-325136.1504,4477982.948,"Saturday, February 14, 2009",2:14
5,30,-325118.9644,4477876.313,"Saturday, February 14, 2009",2:16
6,3,-325131.5835,4477827.008,"Saturday, February 14, 2009",2:16
6,8,-325122.1121,4477781.671,"Saturday, February 14, 2009",2:17
6,14,-325080.3543,4477742.554,"Saturday, February 14, 2009",2:18
7,3,-325000.4118,4477611.964,"Saturday, February 14, 2009",2:19
7,18,-324920.9408,4477445.384,"Saturday, February 14, 2009",2:19
8,5,-324875.2819,4477339.015,"Saturday, February 14, 2009",2:19
9,2,-324838.7053,4477136.402,"Saturday, February 14, 2009",2:19
9,17,-324909.62,4476955.304,"Saturday, February 14, 2009",2:19
10,1,-324908.8088,4476915.229,"Saturday, February 14, 2009",2:20
10,9,-324857.1231,4476845.372,"Saturday, February 14, 2009",2:20
10,15,-324811.4615,4476791.763,"Saturday, February 14, 2009",2:20
10,20,-324772.8827,4476761.828,"Saturday, February 14, 2009",2:20
44,0,-324488.1171,4476764.474,"Thursday, March 19, 2009",0:11
45,2,-324485.9235,4477037.936,"Thursday, March 19, 2009",0:12
45,15,-324633.2629,4477127.815,"Thursday, March 19, 2009",0:12
46,3,-324721.2495,4477166.545,"Thursday, March 19, 2009",0:12
46,9,-324764.6421,4477202.639,"Thursday, March 19, 2009",0:12
46,16,-324824.4233,4477276.198,"Thursday, March 19, 2009",0:12
46,22,-324846.2926,4477336.226,"Thursday, March 19, 2009",0:12
47,3,-324862.8932,4477378.4,"Thursday, March 19, 2009",0:12
47,7,-324881.4238,4477423.984,"Thursday, March 19, 2009",0:12
47,18,-324930.5297,4477542.366,"Thursday, March 19, 2009",0:13
47,20,-324938.7491,4477559.598,"Thursday, March 19, 2009",0:13
48,9,-325006.7178,4477658.464,"Thursday, March 19, 2009",0:14
49,0,-325056.43,4477817.463,"Thursday, March 19, 2009",0:14
49,14,-325043.0486,4477956.795,"Thursday, March 19, 2009",0:15
49,24,-325039.6869,4478015.19,"Thursday, March 19, 2009",0:16
49,25,-325031.6265,4478016.369,"Thursday, March 19, 2009",0:16
49,26,-325022.7407,4478019.71,"Thursday, March 19, 2009",0:17
49,31,-324981.9011,4478039.457,"Thursday, March 19, 2009",0:17
49,32,-324973.4531,4478040.222,"Thursday, March 19, 2009",0:17
50,16,-324882.2879,4478130.873,"Thursday, March 19, 2009",0:19
52,4,-324923.2574,4478042.612,"Thursday, March 19, 2009",0:21
52,20,-324790.5761,4478090.615,"Thursday, March 19, 2009",0:22
52,26,-324743.2654,4478108.9,"Thursday, March 19, 2009",0:23
52,33,-324682.4483,4478130.584,"Thursday, March 19, 2009",0:24
53,0,-324673.692,4478132.825,"Thursday, March 19, 2009",0:24
53,2,-324655.9517,4478136.696,"Thursday, March 19, 2009",0:24
53,18,-324519.5063,4478190.103,"Thursday, March 19, 2009",0:25
54,29,-324325.2793,4478034.45,"Thursday, March 19, 2009",0:29
55,5,-324198.3675,4478042.905,"Thursday, March 19, 2009",0:30
55,19,-324083.267,4478093.957,"Thursday, March 19, 2009",0:31
55,33,-324013.0292,4478003.864,"Thursday, March 19, 2009",0:32
56,15,-323862.885,4478067.802,"Thursday, March 19, 2009",0:34
56,21,-323817.48,4478067.344,"Thursday, March 19, 2009",0:34
238,10,-324836.8187,4476851.599,"Monday, March 23, 2009",6:38
239,2,-324628.5606,4476896.399,"Monday, March 23, 2009",6:39
239,5,-324558.3825,4476879.533,"Monday, March 23, 2009",6:39
240,3,-324484.0892,4477028.342,"Monday, March 23, 2009",6:40
241,0,-324843.7934,4477265.364,"Monday, March 23, 2009",6:40
241,6,-324866.6015,4477328.683,"Monday, March 23, 2009",6:41
242,13,-325056.5726,4477826.681,"Monday, March 23, 2009",6:42
242,28,-325021.3248,4477763.689,"Monday, March 23, 2009",6:44
242,36,-324965.6102,4477704.46,"Monday, March 23, 2009",6:44
242,49,-324810.8469,4477706.3,"Monday, March 23, 2009",6:45
243,1,-324738.2659,4477712.809,"Monday, March 23, 2009",6:45
243,5,-324705.3417,4477711.651,"Monday, March 23, 2009",6:45
243,10,-324632.703,4477713.469,"Monday, March 23, 2009",6:45
243,11,-324624.4246,4477713.87,"Monday, March 23, 2009",6:45
243,16,-324584.8439,4477715.543,"Monday, March 23, 2009",6:45
243,24,-324517.2396,4477716.224,"Monday, March 23, 2009",6:45
245,4,-324245.1187,4477771.129,"Monday, March 23, 2009",6:46
245,7,-324253.4332,4477815.211,"Monday, March 23, 2009",6:46
246,3,-324304.8122,4478013.063,"Monday, March 23, 2009",6:47
246,4,-324306.9564,4478025.124,"Monday, March 23, 2009",6:47
246,23,-324133.462,4478067.717,"Monday, March 23, 2009",6:47
247,3,-324039.8446,4478120.183,"Monday, March 23, 2009",6:47
247,16,-323954.7919,4478049.499,"Monday, March 23, 2009",6:48
247,28,-323851.2495,4478052.823,"Monday, March 23, 2009",6:49
248,1,-323804.7595,4478082.094,"Monday, March 23, 2009",6:50
248,4,-323781.8448,4478092.362,"Monday, March 23, 2009",6:50
249,2,-325117.4105,4477504.248,"Monday, March 23, 2009",7:17
249,7,-325107.977,4477686.623,"Monday, March 23, 2009",7:17
249,10,-325112.2902,4477713.193,"Monday, March 23, 2009",7:19
249,15,-325085.726,4477659.227,"Monday, March 23, 2009",7:19
249,25,-325026.853,4477558.911,"Monday, March 23, 2009",7:20
249,30,-324994.9928,4477496.673,"Monday, March 23, 2009",7:20
249,32,-324985.1587,4477473.07,"Monday, March 23, 2009",7:20
250,4,-324893.491,4477286.007,"Monday, March 23, 2009",7:20
250,8,-324869.3279,4477227.237,"Monday, March 23, 2009",7:20
252,1,-324933.3903,4476864.608,"Monday, March 23, 2009",7:21
252,4,-324913.8823,4476834.506,"Monday, March 23, 2009",7:21
314,12,-324490.0437,4476779.879,"Thursday, February 19, 2009",11:47
314,15,-324461.9022,4476818.105,"Thursday, February 19, 2009",11:48
314,17,-324453.3542,4476836.881,"Thursday, February 19, 2009",11:48
315,1,-324456.8581,4476873.499,"Thursday, February 19, 2009",11:48
315,14,-324455.6935,4476951.461,"Thursday, February 19, 2009",11:49
315,18,-324425.8077,4476999.07,"Thursday, February 19, 2009",11:49
317,4,-324742.0589,4477386.58,"Thursday, February 19, 2009",11:50
319,3,-325102.2319,4477963.274,"Thursday, February 19, 2009",11:55
319,23,-324953.165,4478043.633,"Thursday, February 19, 2009",11:57
319,25,-324933.4861,4478051.999,"Thursday, February 19, 2009",11:57
319,27,-324917.8414,4478059.106,"Thursday, February 19, 2009",11:57
319,28,-324908.9255,4478060.192,"Thursday, February 19, 2009",11:57
320,5,-324844.0568,4478088.584,"Thursday, February 19, 2009",11:58
320,13,-324776.8327,4478105.432,"Thursday, February 19, 2009",11:59
320,17,-324745.7341,4478111.423,"Thursday, February 19, 2009",11:59
324,6,-325036.8404,4477838.218,"Wednesday, April 8, 2009",11:08
324,12,-325056.3453,4477823.458,"Wednesday, April 8, 2009",11:14
324,13,-325065.655,4477825.423,"Wednesday, April 8, 2009",11:15
324,14,-325057.8989,4477830.386,"Wednesday, April 8, 2009",11:16
324,44,-325089.0132,4477850.687,"Wednesday, April 8, 2009",11:19
324,47,-325059.268,4477858.695,"Wednesday, April 8, 2009",11:19
324,53,-325056.0049,4477831.868,"Wednesday, April 8, 2009",11:26
324,58,-325090.0598,4477883.287,"Wednesday, April 8, 2009",11:27
324,71,-325151.3006,4478009.387,"Wednesday, April 8, 2009",11:28
326,10,-325324.5335,4478414.704,"Wednesday, April 8, 2009",11:29
326,15,-325366.8978,4478466.652,"Wednesday, April 8, 2009",11:29
326,20,-325401.8455,4478515.164,"Wednesday, April 8, 2009",11:29
327,9,-325439.1403,4478631.877,"Wednesday, April 8, 2009",11:29
328,5,-325524.0238,4478819.901,"Wednesday, April 8, 2009",11:30
328,19,-325596.4512,4478972.77,"Wednesday, April 8, 2009",11:31
329,0,-325611.382,4478999.75,"Wednesday, April 8, 2009",11:31
330,15,-325792.7108,4479432.067,"Wednesday, April 8, 2009",11:32
331,10,-325835.0023,4479584.646,"Wednesday, April 8, 2009",11:32
331,11,-325839.3606,4479594.879,"Wednesday, April 8, 2009",11:33
332,6,-325937.0793,4479799.899,"Wednesday, April 8, 2009",11:33
333,7,-326052.2215,4480055.089,"Wednesday, April 8, 2009",11:34
333,8,-326058.7206,4480070.817,"Wednesday, April 8, 2009",11:34
334,1,-326120.3816,4480209.743,"Wednesday, April 8, 2009",11:34
334,2,-326124.3771,4480218.066,"Wednesday, April 8, 2009",11:34
334,17,-326229.951,4480397.305,"Wednesday, April 8, 2009",11:34
335,5,-326268.8548,4480480.615,"Wednesday, April 8, 2009",11:35
335,6,-326276.5896,4480498.169,"Wednesday, April 8, 2009",11:35
336,7,-326352.2178,4480728.003,"Wednesday, April 8, 2009",11:35
336,10,-326349.128,4480761.446,"Wednesday, April 8, 2009",11:35
336,23,-326259.3269,4480847.531,"Wednesday, April 8, 2009",11:37
