cid,sid,car_lon,car_lat,days,times
295,0,-331568.0229,4475348.517,"Thursday, February 19, 2009",10:53
296,4,-331853.1993,4475693.158,"Thursday, February 19, 2009",10:53
299,3,-332380.4347,4476326.291,"Thursday, February 19, 2009",10:53
301,1,-332661.8369,4476675.636,"Thursday, February 19, 2009",10:53
671,20,-331166.9869,4478765.631,"Saturday, April 4, 2009",3:30
671,22,-331183.4753,4478764.07,"Saturday, April 4, 2009",3:30
672,6,-331266.0943,4478747.834,"Saturday, April 4, 2009",3:31
672,16,-331371.2882,4478736.343,"Saturday, April 4, 2009",3:31
675,12,-331111.259,4477963.344,"Saturday, April 4, 2009",3:35
675,21,-331061.1777,4477869.012,"Saturday, April 4, 2009",3:35
675,23,-331049.2442,4477846.29,"Saturday, April 4, 2009",3:35
676,8,-330985.7672,4477720.245,"Saturday, April 4, 2009",3:35
676,9,-330981.5124,4477711.698,"Saturday, April 4, 2009",3:36
676,10,-330976.6021,4477703.834,"Saturday, April 4, 2009",3:36
676,12,-330962.3276,4477694.565,"Saturday, April 4, 2009",3:36
676,14,-330951.8371,4477678.391,"Saturday, April 4, 2009",3:37
676,21,-330904.2089,4477604.982,"Saturday, April 4, 2009",3:37
678,50,-330806.8178,4477341.137,"Saturday, April 4, 2009",3:42
678,52,-330810.2829,4477360.862,"Saturday, April 4, 2009",3:42
678,56,-330824.508,4477394.166,"Saturday, April 4, 2009",3:43
678,93,-330824.2022,4477411.403,"Saturday, April 4, 2009",4:14
678,149,-330834.3903,4477404.076,"Saturday, April 4, 2009",5:05
678,156,-330836.6985,4477390.992,"Saturday, April 4, 2009",5:25
678,158,-330825.687,4477403.117,"Saturday, April 4, 2009",5:27
678,170,-330864.2545,4477378.076,"Saturday, April 4, 2009",5:37
678,189,-330791.6584,4477355.61,"Saturday, April 4, 2009",5:49
1148,17,-331004.0948,4478796.483,"Monday, March 9, 2009",4:23
1148,21,-331045.3932,4478791.089,"Monday, March 9, 2009",4:23
1149,5,-331134.5721,4478779.519,"Monday, March 9, 2009",4:23
1150,0,-331346.24,4478760.619,"Monday, March 9, 2009",4:37
1150,3,-331370.3558,4478757.826,"Monday, March 9, 2009",4:37
1150,10,-331440.0475,4478746.363,"Monday, March 9, 2009",4:37
1150,15,-331499.4583,4478736.402,"Monday, March 9, 2009",4:38
1151,11,-331721.5697,4478705.324,"Monday, March 9, 2009",4:38
1151,12,-331733.8755,4478703.686,"Monday, March 9, 2009",4:38
1152,1,-331854.6573,4478685.651,"Monday, March 9, 2009",4:39
1152,3,-331872.9022,4478681.289,"Monday, March 9, 2009",4:39
1152,17,-332006.5877,4478657.549,"Monday, March 9, 2009",4:40
1153,10,-332171.5713,4478567.416,"Monday, March 9, 2009",4:42
1154,17,-332175.8457,4478156.097,"Monday, March 9, 2009",4:43
1155,2,-332173.9273,4478115.889,"Monday, March 9, 2009",4:43
1155,5,-332171.7125,4478074.522,"Monday, March 9, 2009",4:43
1155,8,-332170.4208,4478026.125,"Monday, March 9, 2009",4:43
1156,4,-332185.7014,4477837.971,"Monday, March 9, 2009",4:44
1156,16,-332180.1371,4477662.164,"Monday, March 9, 2009",4:44
1157,1,-332177.8168,4477615.152,"Monday, March 9, 2009",4:44
1157,9,-332156.0725,4477511.353,"Monday, March 9, 2009",4:45
1157,13,-332151.9073,4477456.251,"Monday, March 9, 2009",4:45
1158,7,-332149.0551,4477285.813,"Monday, March 9, 2009",4:45
1158,17,-332151.4908,4477155.2,"Monday, March 9, 2009",4:45
1159,4,-332156.45,4477068.432,"Monday, March 9, 2009",4:46
1160,0,-332176.2433,4476852.431,"Monday, March 9, 2009",4:46
1161,0,-332240.7721,4476597.417,"Monday, March 9, 2009",4:47
1161,5,-332252.0245,4476521.675,"Monday, March 9, 2009",4:47
1162,2,-332230.9231,4476316.36,"Monday, March 9, 2009",4:47
1162,16,-332130.8267,4476179.323,"Monday, March 9, 2009",4:48
1163,3,-332060.9032,4476086.728,"Monday, March 9, 2009",4:48
1163,12,-332014.535,4475986.041,"Monday, March 9, 2009",4:49
1163,16,-332005.7596,4475920.291,"Monday, March 9, 2009",4:49
1164,4,-332017.2589,4475830.494,"Monday, March 9, 2009",4:49
1164,9,-332050.4827,4475760.928,"Monday, March 9, 2009",4:49
1165,0,-332230.3045,4475776.259,"Monday, March 9, 2009",4:50
1165,2,-332261.2326,4475769.532,"Monday, March 9, 2009",4:50
1165,5,-332294.1486,4475759.081,"Monday, March 9, 2009",4:50
1165,10,-332355.1286,4475783.644,"Monday, March 9, 2009",4:50
1165,13,-332378.796,4475800.711,"Monday, March 9, 2009",4:50
1165,16,-332403.1302,4475814.482,"Monday, March 9, 2009",4:51
1166,16,-332655.8955,4475909.417,"Monday, March 9, 2009",4:51
1167,10,-332804.5248,4475906.481,"Monday, March 9, 2009",4:52
